date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-10-14,13.4,11.1,15.7,0,,91,26.3,,1030.4,
2022-10-15,13.8,12.2,16.4,0.6,,101,17.4,,1028.4,
2022-10-16,15.3,12.3,18.2,7.1,,127,21.7,,1024.2,
2022-10-17,16.4,14.1,18.7,0,,110,34.2,,1026.1,
2022-10-18,17.3,14.8,20.8,0,,107,29.5,,1024,
2022-10-19,18.5,15.8,21.1,0,,99,19.1,,1017.4,
2022-10-20,19.5,17.7,21.2,6.5,,72,8.7,,1010.4,
2022-10-21,18.7,15.5,20.6,0,,140,15.7,,1011.5,
2022-10-22,13.6,10.8,21.7,5.1,,165,16.7,,1020.4,
2022-10-23,15,11.1,18,0.2,,127,19,,1022.1,
2022-10-24,18.3,14.3,22,0,,66,17.4,,1018.4,
2022-10-25,20.4,17.2,24.7,0,,60,17,,1012.6,
2022-10-26,20.4,17.1,25.6,5.1,,301,16.3,,1004.3,
2022-10-27,21.4,15.3,27.9,0,,257,12.3,,1008,
2022-10-28,25.1,17.2,33.6,0,,320,15.9,,1005.7,
2022-10-29,23.4,20.3,34.6,2,,32,15,,1001.8,
2022-10-30,17,11.7,30.1,0,,168,15.9,,1008,
2022-10-31,12.6,7.8,16.8,0.8,,190,15.7,,1027.3,
2022-11-01,14.7,9.3,19.3,0,,100,9.5,,1030.6,
2022-11-02,18.9,11.8,24,0,,9,10.1,,1029.4,
2022-11-03,20.3,16.2,24.7,0,,77,14.8,,1027.8,
2022-11-04,18.5,14.8,23.7,0,,83,24.5,,1025.5,
2022-11-05,19.2,15.8,22.8,0,,72,25.2,,1023.6,
2022-11-06,20,16,23.9,0,,76,24.7,,1024.2,
2022-11-07,20.3,16,23.5,0,,63,23.8,,1024.1,
2022-11-08,20.1,15.8,24.4,0,,58,22.3,,1021.2,
2022-11-09,20.6,16.6,24.5,0,,52,19.1,,1016.5,
2022-11-10,21.4,17.3,24.7,0,,68,14.5,,1014.2,
2022-11-11,22.2,18.8,26.5,0,,91,16.7,,1012.7,
2022-11-12,22.8,20.2,27.6,0,,73,13.6,,1010,
2022-11-13,22.2,18.8,26.8,10,,113,16.8,,1005.5,
2022-11-14,18.9,15.6,25.1,18,,223,12.8,,1003.9,
2022-11-15,24.2,15.9,32.3,0,,243,9.1,,1010.9,
2022-11-16,24.9,19.4,32.7,0,,13,7.4,,1015.5,
2022-11-17,24.9,21.1,29.6,0,,102,20.2,,1017.5,
2022-11-18,24.5,21.3,29.6,0,,104,20.8,,1014.2,
2022-11-19,25.8,22.5,29.3,1.4,,10,10.6,,1009.2,
2022-11-20,25.4,18.9,29.8,0,,134,11.9,,1009,
2022-11-21,17.4,14.7,29.5,15,,182,12.4,,1014,
2022-11-22,18.4,13.3,23.4,2,,198,9.2,,1014.5,
2022-11-23,21.9,14.8,27.9,0,,326,13.6,,1011.4,
2022-11-24,25,18.5,31,0,,347,11.9,,1012,
2022-11-25,21.8,17.8,31.9,0,,120,25.3,,1019.4,
2022-11-26,22.8,20.1,27.4,0,,101,21.2,,1018.7,
2022-11-27,24.6,21.7,28.4,0,,80,19.5,,1018.2,
2022-11-28,25.4,22.3,29.1,0,,71,16.3,,1013.3,
2022-11-29,26.3,22.7,30.7,0,,32,15.7,,1007.5,
2022-11-30,25.8,21.3,32.1,0.8,,83,12.9,,1006.1,
2022-12-01,20.8,17.8,28.1,26.9,,176,13.1,,1009.7,
2022-12-02,20,15.6,24.4,0,,112,14,,1013.8,
2022-12-03,21.7,18.6,24.9,0,,76,15.7,,1012.1,
2022-12-04,23.8,18.8,27.7,0,,51,9.8,,1010.3,
2022-12-05,26.3,23.1,31.4,0,,60,13,,1011.6,
2022-12-06,27.4,23.2,32.2,0,,40,15.6,,1011.9,
2022-12-07,28.3,24.4,32.2,0,,28,12.2,,1009.6,
2022-12-08,28.1,21.1,33.3,3,,353,11.2,,1005.8,
2022-12-09,29.5,22.8,34.8,0,,34,12.5,,1005.2,
2022-12-10,25,21.6,34.6,27.9,,112,26.1,,1011.3,
2022-12-11,28.4,23.8,34.7,0,,338,18.5,,1006.4,
